relative_time_s,parcel_count_remaining,injected_mass_kg,remaining_mass_kg,inferred_escaped_mass_kg,remaining_fraction,escaped_fraction
19.003056662331574,55982,3.1671761103885955e-07,3.1647639024197346e-07,2.412207968860947e-10,0.999238372643394,0.0007616273566060025
20.003056662331574,58926,3.3338427770552624e-07,3.331609507493519e-07,2.233269561743397e-10,0.9993301215110941,0.0006698784889058306
20.993056662331583,61868,3.4988427770552636e-07,3.497646437290897e-07,1.1963397643668116e-10,0.9996580755865304,0.00034192441346955543
22.003056662331574,64828,3.667176110388595e-07,3.665106758233344e-07,2.0693521552507067e-10,0.9994357096324367,0.0005642903675633473
23.003056662331574,67782,3.833842777055262e-07,3.831825809871899e-07,2.0169671833626982e-10,0.9994739045650401,0.0005260954349598842
24.003056662331574,70735,4.0005094437219286e-07,3.998590120920249e-07,1.919322801679768e-10,0.9995202304034823,0.00047976959651771246
25.003056662331574,73677,4.1671761103885955e-07,4.164935102328322e-07,2.241008060273226e-10,0.9994622238175425,0.0005377761824575849
26.003056662331574,76630,4.3338427770552623e-07,4.331654383001062e-07,2.1883940542004663e-10,0.999495045351948,0.0005049546480519594
26.993056662331583,79552,4.4988427770552636e-07,4.497194092261885e-07,1.648684793378501e-10,0.9996335313601562,0.00036646863984378993
27.993056662331583,80901,4.66550944372193e-07,4.572878416645791e-07,9.263102707613913e-09,0.9801455707691715,0.019854429230828505
29.003056662331574,78287,4.833842777055262e-07,4.425450187158541e-07,4.0839258989672073e-08,0.9155138864186414,0.0844861135813586
29.993056662331583,78781,4.998842777055264e-07,4.453343965532419e-07,5.454988115228447e-08,0.8908749813003343,0.10912501869966575
30.993056662331583,78159,5.165509443721929e-07,4.417823798598493e-07,7.476856451234366e-08,0.8552542293708976,0.14474577062910238
31.993056662331583,79502,5.332176110388597e-07,4.493596317216198e-07,8.385797931723992e-08,0.8427321649150696,0.15726783508493034
32.99305666233158,80793,5.498842777055263e-07,4.566119441482241e-07,9.327233355730218e-08,0.8303782498628715,0.16962175013712855
33.99305666233158,82306,5.665509443721931e-07,4.651289267181545e-07,1.0142201765403858e-07,0.8209834108273768,0.1790165891726232
35.00305666233157,80887,5.833842777055263e-07,4.571016090928873e-07,1.2628266861263895e-07,0.7835343298771887,0.21646567012281123
36.00305666233157,80402,6.000509443721929e-07,4.542907079012792e-07,1.4576023647091364e-07,0.7570868976409725,0.24291310235902758
37.00305666233157,80503,6.167176110388595e-07,4.549117405659475e-07,1.6180587047291204e-07,0.7376337766642493,0.26236622333575066
38.00305666233157,81690,6.333842777055262e-07,4.616179251608381e-07,1.7176635254468815e-07,0.7288117836348537,0.2711882163651463
39.00305666233157,81363,6.500509443721928e-07,4.5974389952277753e-07,1.9030704484941527e-07,0.7072428761207166,0.2927571238792835
40.00305666233157,79481,6.667176110388596e-07,4.4906551506558557e-07,2.1765209597327402e-07,0.6735468024698867,0.3264531975301132
40.99305666233158,79141,6.832176110388598e-07,4.4718983995608804e-07,2.3602777108277173e-07,0.6545350013389115,0.34546499866108843
42.00305666233157,78743,7.000509443721928e-07,4.448869107481814e-07,2.5516403362401143e-07,0.6355064789565521,0.3644935210434479
