relative_time_s,downstream_parcel_count,crosswind_centroid_m,plume_centroid_height_m,plume_rise_above_stack_m,sigma_crosswind_m,sigma_vertical_m,crosswind_p10_m,crosswind_p90_m,height_p10_relative_m,height_p90_relative_m
26.003056662331574,76564,1.1140274365938587,67.25294039611632,-2.74705960388368,1.8878620170972225,2.026807688927998,-1.230466494831746,4.0627648149317395,-5.5200347900390625,-0.10811614990234375
26.993056662331583,79494,1.1848220127553075,67.27175907182126,-2.728240928178741,1.9089012807487808,2.0629439299850785,-1.1407867206717803,4.198366476264042,-5.5594482421875,-0.15248870849609375
27.993056662331583,80853,1.2608624406533213,67.33792844627597,-2.66207155372403,1.9514737265068378,2.030027681515105,-1.049922993256999,4.372609358458462,-5.259803771972656,-0.22924041748046875
29.003056662331574,78221,1.3531956329692558,67.39785135112905,-2.6021486488709473,2.0285036347965884,2.006962395051223,-0.9752761024888805,4.6008149428522245,-4.9202423095703125,-0.187408447265625
29.993056662331583,78734,1.4003404181205985,67.3178255608088,-2.6821744391912024,2.09168093085535,2.0542191745477623,-0.9526908780043744,4.784974665054932,-5.0060272216796875,-0.13863372802734375
30.993056662331583,78104,1.3785419187210943,67.26819379096916,-2.7318062090308377,2.1044829156339997,2.0949997755385534,-0.8843547539591725,4.920450169602589,-5.1072845458984375,-0.0595855712890625
31.993056662331583,79446,1.3574065971925442,67.30681617889235,-2.693183821107649,2.062800109585786,2.1384946787266133,-0.8729357190630533,4.796119933737174,-5.1615447998046875,-0.151031494140625
32.99305666233158,80740,1.3369600131191544,67.35676384486929,-2.643236155130707,2.019486648533143,2.1811766266248287,-0.847198829541207,4.537829925753542,-5.231353759765625,-0.15655517578125
33.99305666233158,82253,1.323953263492663,67.38342081639202,-2.6165791836079824,1.9877605619210332,2.1925448181739458,-0.8790235619369895,4.320832744464639,-5.301666259765625,-0.1714630126953125
35.00305666233157,80811,1.1474589945235272,67.47963272435196,-2.520367275648038,1.7257177043193441,2.191639742060436,-0.869516974826027,3.753210339138519,-5.298225402832031,-0.14554595947265625
36.00305666233157,80346,1.1057306559072175,67.51800293268963,-2.48199706731037,1.7205786043667872,2.214411384160896,-0.9211548856438849,3.574012677718912,-5.413597106933594,-0.09506988525390625
37.00305666233157,80444,1.1053265811858888,67.43713542181149,-2.562864578188508,1.7214529327785157,2.2777035497906417,-0.8995452606389174,3.3614948001997362,-5.562408447265625,-0.043731689453125
38.00305666233157,81638,1.1226987426044681,67.45519618912375,-2.5448038108762407,1.6474275778073277,2.313944080509537,-0.7891119893520084,3.1980263853428426,-5.642921447753906,0.03765869140625
39.00305666233157,81295,1.1308792264792753,67.66025470288872,-2.3397452971112767,1.6254961470283336,2.136842173970608,-0.7338408944600303,3.1845992109760033,-5.418281555175781,0.0773162841796875
40.00305666233157,79414,1.2251732877549695,67.8697191119909,-2.1302808880090898,1.6182797185280142,1.98810676526759,-0.6346741842583299,3.3535413728391035,-5.184196472167969,0.22601318359375
40.99305666233158,79083,1.367411390513437,67.85326708812707,-2.1467329118729253,1.618066695052714,2.0521306238065846,-0.5406023414680914,3.512201117899494,-5.35589599609375,0.33565521240234375
42.00305666233157,78675,1.5010152214160446,67.67635198975002,-2.3236480102499866,1.644686505078094,2.0064678150730866,-0.4633781467135023,3.6680631718684964,-5.525306701660156,0.166656494140625
43.00305666233157,79615,1.587120557044542,67.52744605620133,-2.472553943798673,1.6810180900731622,1.997203313929872,-0.4981523218433139,3.7919410488030536,-5.65667724609375,0.09188079833984375
44.00305666233157,80180,1.646011848005521,67.39044435165391,-2.609555648346095,1.7308206263394508,2.0252322317663047,-0.5617818973453237,3.9288101135551017,-5.771903991699219,0.06500244140625
45.00305666233157,79981,1.6659674887082567,67.28608904514198,-2.713910954858026,1.8379367807717901,2.0936628897272604,-0.8341385922598672,4.0582422074351285,-5.900001525878906,0.1794281005859375
45.99305666233158,80306,1.5948609335020831,67.22966837996547,-2.770331620034532,1.8055617325983246,2.1701824765722275,-0.9927523141099641,3.837215351386874,-6.008914947509766,0.22076416015625
47.00305666233157,80714,1.575590685605524,67.18375701478082,-2.8162429852191733,1.8055145868211635,2.2454734783612933,-1.0068988041097455,3.7977041003589136,-6.113567352294922,0.31919097900390625
47.99305666233158,80934,1.576754203760143,67.19187711860138,-2.8081228813986123,1.9107895050019896,2.323400505865535,-1.0668070811253791,3.9882872462473102,-6.199962615966797,0.3990631103515625
49.00305666233157,81543,1.5739088467134748,67.25139256015451,-2.7486074398454887,1.9878757569768637,2.3501363386376077,-1.0720664205210824,4.1506597592733385,-6.182273864746094,0.44732666015625
49.99305666233158,81759,1.6399285602194504,67.36053720023097,-2.6394627997690283,2.0620947524693003,2.281080246728427,-1.0371637406443313,4.364292833003006,-5.539436340332031,0.49315643310546875
51.00305666233157,80232,1.7003845020699466,67.47814572647229,-2.5218542735277047,2.1391164766293445,2.2320616349896794,-1.027327893158514,4.598164693282328,-5.4051513671875,0.5780410766601562
52.00305666233157,80611,1.8509311618458124,67.51581973811668,-2.4841802618833277,2.1782859071364857,2.2622592364978953,-0.891617089574197,4.805152063825673,-5.5368499755859375,0.6172103881835938
53.00305666233157,79136,2.025057657681596,67.56146766135399,-2.4385323386460143,2.229128478739918,2.3242889166230483,-0.8217435138532814,5.004917141188159,-5.701194763183594,0.7036285400390625
53.99305666233158,79797,2.09860816153461,67.56973401865568,-2.4302659813443244,2.3257016642288124,2.3725961858363718,-0.8797348482090541,5.188919852590985,-5.8236846923828125,0.742431640625
55.00305666233157,81046,2.166922220580329,67.61847098667694,-2.381529013323056,2.379542358589518,2.408015713267922,-0.8282733471239752,5.389224168615954,-5.943878173828125,0.7799224853515625
55.99305666233158,79188,2.0990402953544494,67.60687981919206,-2.393120180807946,2.437253248108804,2.4408361132697185,-0.828171861063737,5.634232451199765,-6.074062347412109,0.8319625854492188
57.00305666233157,77901,2.0608845493702117,67.40217885193309,-2.597821148066914,2.5460139896053073,2.3647206262163882,-0.8719770075902105,5.907607988529648,-6.201507568359375,0.37830352783203125
58.00305666233157,78046,2.0810637888201624,67.2637411694218,-2.7362588305781923,2.636679236236327,2.2796761884165613,-0.8480239820050173,6.150857384969186,-6.312473297119141,0.05937957763671875
58.99305666233158,79173,2.0820112066834926,67.20801600052569,-2.7919839994743154,2.736745815341861,2.2382770495931106,-0.948641799368275,6.37053218552802,-6.382282257080078,-0.10784149169921875
59.99305666233158,79800,2.0516016231531076,67.11476204095455,-2.88523795904545,2.7683646305248053,2.209409636709304,-0.923473527975265,6.5681758065446445,-6.463314056396484,-0.35520172119140625
