sequence_index,filename,simulation_time_s,relative_time_s,parcel_count,active_count,age_min_s,age_mean_s,age_max_s,velocity_mean_mps,velocity_max_mps,nParticle_sum,represented_mass_kg,rho_min_kgm3,rho_max_kgm3,diameter_min_m,diameter_max_m
30,kinematicCloud_00029827.vtp,1876.99,29.993056662331583,78781,78781,0.010267345234751701,13.368423841265884,27.380212783813477,14.989669477762883,21.49064191755006,694307015.8271484,4.453343965532419e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
31,kinematicCloud_00029923.vtp,1877.99,30.993056662331583,78159,78159,0.0101700434461236,13.259165343923813,26.598041534423828,14.968294174973591,19.98051869442186,688769177.0039062,4.417823798598493e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
32,kinematicCloud_00030027.vtp,1878.99,31.993056662331583,79502,79502,0.01074884831905365,13.48558217396657,27.255144119262695,14.99152785251035,21.51056048675474,700582634.8662109,4.4935963172161975e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
33,kinematicCloud_00030125.vtp,1879.99,32.99305666233158,80793,80793,0.009827923960983753,13.700243432343601,27.628625869750977,14.991629477329559,22.109756596957208,711889489.7548828,4.566119441482241e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
34,kinematicCloud_00030221.vtp,1880.99,33.99305666233158,82306,82306,0.010347014293074608,13.955155925973141,28.192781448364258,15.061246929148972,20.71375780613254,725168052.5556641,4.6512892671815445e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
35,kinematicCloud_00030324.vtp,1882.0,35.00305666233157,80887,80887,0.009870801120996475,13.716671505634473,28.950580596923828,14.990844740781636,18.378666535189854,712652911.1503906,4.571016090928873e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
36,kinematicCloud_00030424.vtp,1883.0,36.00305666233157,80402,80402,0.009317501448094845,13.632096571830955,27.64146614074707,14.962956642580346,18.6284512670202,708270522.4707031,4.542907079012792e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
37,kinematicCloud_00030531.vtp,1884.0,37.00305666233157,80503,80503,0.009592501446604729,13.65090777749388,27.418508529663086,15.015203784839233,18.29997429200645,709238755.1953125,4.549117405659475e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
38,kinematicCloud_00030637.vtp,1885.0,38.00305666233157,81690,81690,0.009564409963786602,13.855425583210957,28.281246185302734,15.056918138001407,19.715546889588,719694159.15625,4.616179251608381e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
39,kinematicCloud_00030739.vtp,1886.0,39.00305666233157,81363,81363,0.010566465556621552,13.808480370260868,28.77814292907715,15.087974872362524,18.812125102181398,716772424.0322266,4.5974389952277753e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
40,kinematicCloud_00030837.vtp,1887.0,40.00305666233157,79481,79481,0.009763093665242195,13.479947198526208,27.18817138671875,14.980715066701453,18.428703222292057,700124086.7294922,4.4906551506558546e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
41,kinematicCloud_00030944.vtp,1887.99,40.99305666233158,79141,79141,0.009913098067045212,13.42307035804527,27.061620712280273,14.965085497505447,21.039059645010877,697199779.9658203,4.4718983995608804e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
42,kinematicCloud_00031044.vtp,1889.0,42.00305666233157,78743,78743,0.010129783302545547,13.352103475746784,26.79467010498047,15.026317322048168,19.003483166930806,693609354.6171875,4.4488691074818137e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
43,kinematicCloud_00031139.vtp,1890.0,43.00305666233157,79666,79666,0.010707413777709007,13.509660905767205,27.1127872467041,15.078301947672454,20.340678720964924,701706694.1601562,4.5008061286677333e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
44,kinematicCloud_00031238.vtp,1891.0,44.00305666233157,80257,80257,0.009747091680765152,13.610316379419412,27.66660499572754,15.036715595467003,17.371268475644158,706935031.4384766,4.534341126496378e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
45,kinematicCloud_00031333.vtp,1892.0,45.00305666233157,80039,80039,0.01106362696737051,13.570842220095065,27.731416702270508,14.965761075267194,16.987334282971815,704961023.0146484,4.521679669386237e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
46,kinematicCloud_00031424.vtp,1892.99,45.99305666233158,80357,80357,0.010298023000359535,13.622163716957575,27.329439163208008,15.052947073313248,18.833121913846504,707695783.4208984,4.539220654101538e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
47,kinematicCloud_00031522.vtp,1894.0,47.00305666233157,80764,80764,0.010266088880598545,13.690986407013842,27.651552200317383,15.105377434573285,19.728591941918566,711176680.3886719,4.561547421875311e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
48,kinematicCloud_00031621.vtp,1894.99,47.99305666233158,80982,80982,0.010258217342197895,13.726619053763711,27.55215072631836,15.138657461998298,24.091368730394905,713048012.9042969,4.573550307019767e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
